web-scraper-order,date,title,ratings,label,comment_segmented
1756461394-1,2024-10-04,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['manis', 'tekstur', 'lembut', 'rea', 'asli', 'jamin', 'asli', 'paket', 'aman', 'rusa', 'mks', 'kak', 'beli', 'mks', 'suka']"
1756461394-2,2024-09-22,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['lumayan', 'tekstur', 'bagus', 'asli', 'asli', 'paket', 'dik', 'emas', 'enak', 'pinggir', 'beda', 'beda', 'uan', 'makasih']"
1756461394-3,2025-03-08,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'empuk', 'lem', 'tuku', 'pasal', 'hamdu', 'lil', 'paket', 'selamat', 'kin', 'cepat', 'aman', 'lewar', 'enak', 'harga', 'sahabat', 'tekstur', 'empuk', 'manis', 'khas', 'pengin', 'makan', 'obat', 'terima', 'kasih', 'sel', 'hop']"
1756461394-4,2024-12-13,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['mantap', 'tekstur', 'oku', 'kur', 'pasal', 'hamdu', 'lil', 'terima', 'sesuai', 'pesan', 'gambar', 'kin', 'rapih', 'aman', 'mantap', 'kurir', 'ramah', 'respon', 'sel', 'cepat', 'ramah', 'amanah', 'men', 'sel', 'deh', 'pokok', 'mantap']"
1756461394-5,2024-11-04,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'tahan', 'pesan', 'sesuai', 'butuh', 'kirim', 'barang', 'super', 'cepat', 'kurir', 'ramah', 'lingkung', 'moga', 'manfaat', 'langgan', 'toko', 'trim', 'akas', 'senang', 'belanja']"
1756461394-6,2025-02-27,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['ukur', 'enak', 'tekstur', 'gurih', 'alhamdulillah', 'paket', 'jakarta', 'denpasar', 'ancur', 'rusak', 'mantap', 'banget', 'lapis', 'legit', 'enak', 'gak', 'manis', 'cocok', 'tem', 'teh', 'coba', 'kucing', 'sukak', 'enak', 'gurih', 'manis', 'pas', 'asin', 'wangi', 'banget', 'kurang', 'tahan', 'minggu', 'minggu', 'uda', 'label', 'halal', 'aman', 'harga', 'murah', 'riah', 'sel', 'amanah', 'kurir', 'gercep']"
1756461394-7,2025-02-05,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'tekstur', 'lembut', 'mulut', 'ukur', 'pas', 'sesuai', 'harga', 'murah', 'dap', 'lapis', 'legit', 'enak', 'toko', 'amanah', 'barang', 'real', 'antar', 'standar']"
1756461394-8,2024-11-18,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'sesuai', 'harga', 'tekstur', 'lembut', 'ukur', 'sesuai', 'alhamdulillah', 'paket', 'kue', 'lapis', 'terima', 'kondisi', 'enak', 'sesuai', 'harga', 'kirim', 'cepat', 'terima', 'kasih', 'hop', 'sel', 'kurir']"
1756461394-9,2024-12-05,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['enak', 'sesuai', 'harga', 'tekstur', 'lembut', 'ukur', 'sesuai', 'eta', 'sira', 'sanya', 'enak', 'tekstur', 'lembut', 'gimana', 'mentega', 'kali', 'cocok', 'kaya', 'donat', 'meses', 'mentega', 'warung', 'gitu', 'minyak', 'dikit', 'diat', 'mulut', 'gitu', 'enak', 'suka', 'saran', 'dikit', 'mentega', 'ganti', 'enak', 'pas']"
1756461394-10,2025-01-22,Lapis Legit Spesial Basah Harum Gurih Legit Halal,5,positif,"['tekstur', 'lapis', 'legit', 'pda', 'ukur', 'pas', 'suai', 'sma', 'mani', 'lembu', 'mur', 'png', 'beli', 'bolu', 'gulung', 'maya', 'men', 'teh', 'tawar']"
